id,language,news_text,label
1,Malayalam,കേരള സർക്കാർ പുതിയ ആരോഗ്യ പദ്ധതി പ്രഖ്യാപിച്ചു. ഈ പദ്ധതി രാജ്യത്തെ ആരോഗ്യ മേഖലയിൽ വലിയ മാറ്റം വരുത്തും.,0
6,Malayalam,കേരളത്തിൽ പുതിയ സോളാർ പവർ പ്ലാന്റ് സ്ഥാപിക്കും. ഇത് പരിസ്ഥിതി സംരക്ഷണത്തിൽ സഹായിക്കും.,0
37,Tamil,இந்தியாவில் புதிய நாடு ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த நாட்டில் 1000 கோடி மக்கள்தொகை உள்ளது.,1
46,Kannada,ಕರ್ನಾಟಕದಲ್ಲಿ ಹೊಸ ಸೌರ ವಿದ್ಯುತ್ ಕೇಂದ್ರ ಸ್ಥಾಪಿಸಲಾಗುತ್ತದೆ. ಇದು ಪರಿಸರ ಸಂರಕ್ಷಣೆಯಲ್ಲಿ ಸಹಾಯ ಮಾಡುತ್ತದೆ.,0
14,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ രാജ്യം കണ്ടെത്തി. ഈ രാജ്യത്തിൽ 1000 കോടി ജനസംഖ്യയുണ്ട്.,1
55,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ಭಾಷೆಯೊಂದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಿದೆ. ಈ ಭಾಷೆ ಜಗತ್ತಿನ ಅತಿ ಪ್ರಾಚೀನ ಭಾಷೆ.,1
34,Tamil,இந்தியாவில் புதிய நாடு ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த நாட்டில் 1000 கோடி மக்கள்தொகை உள்ளது.,1
49,Kannada,ಭಾರತೀಯ ತಂತ್ರಜ್ಞಾನ ಕಂಪನಿಗಳು ಹೊಸ ಕೃತಕ ಬುದ್ಧಿಮತ್ತೆ ಉತ್ಪನ್ನಗಳನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸುತ್ತಿವೆ.,0
13,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ രോഗം പടർന്നു. ഈ രോഗം ഒരു ദിവസത്തിനുള്ളിൽ ലോകത്തെ 50% ജനസംഖ്യയെ ബാധിക്കും.,1
58,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ಭಾಷೆಯೊಂದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಿದೆ. ಈ ಭಾಷೆ ಜಗತ್ತಿನ ಅತಿ ಪ್ರಾಚೀನ ಭಾಷೆ.,1
47,Kannada,ಭಾರತೀಯ ರೈಲ್ವೆ ಹೊಸ ಹೆಚ್ಚಿನ ವೇಗದ ರೈಲು ಸೇವೆಯನ್ನು ಪ್ರಾರಂಭಿಸುತ್ತಿದೆ. ಇದು ಪ್ರಯಾಣ ಸಮಯವನ್ನು ಕಡಿಮೆ ಮಾಡುತ್ತದೆ.,0
51,Kannada,ಭಾರತದಲ್ಲಿ ಜಗತ್ತಿನ ಅತಿ ದೊಡ್ಡ ಕರಗಿದ ಉತ್ಪನ್ನಗಳನ್ನು ಉತ್ಪಾದಿಸುವ ಕಾರ್ಖಾನೆ ಸ್ಥಾಪಿಸಲಾಗುತ್ತದೆ. ಇದು ದೇಶವನ್ನು ಜಗತ್ತಿನ ಅತಿ ದೊಡ್ಡ ಚಿನ್ನ ಉತ್ಪಾದಕನನ್ನಾಗಿ ಮಾಡುತ್ತದೆ.,1
32,Tamil,இந்தியாவில் புதிய கோள் ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த கோளில் மனிதர்கள் வாழ முடியும்.,1
4,Malayalam,കേരളത്തിൽ പുതിയ ഇലക്ട്രിക് വാഹന ചാർജിംഗ് സ്റ്റേഷനുകൾ സ്ഥാപിക്കും. ഇത് ഇലക്ട്രിക് വാഹന ഉപയോഗത്തെ പ്രോത്സാഹിപ്പിക്കും.,0
53,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ರೋಗವೊಂದು ಹರಡಿದೆ. ಈ ರೋಗ ಒಂದು ದಿನದಲ್ಲಿ ಜಗತ್ತಿನ 50% ಜನಸಂಖ್ಯೆಯನ್ನು ಪೀಡಿಸುತ್ತದೆ.,1
18,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ ഭാഷ കണ്ടെത്തി. ഈ ഭാഷ ലോകത്തെ ഏറ്റവും പുരാതന ഭാഷയാണ്.,1
9,Malayalam,ഇന്ത്യൻ ടെക്നോളജി കമ്പനികൾ പുതിയ ആർട്ടിഫിഷ്യൽ ഇന്റലിജൻസ് ഉൽപ്പന്നങ്ങൾ വികസിപ്പിക്കുന്നു.,0
7,Malayalam,ഇന്ത്യൻ റെയിൽവേ പുതിയ ഹൈസ്പീഡ് ട്രെയിൻ സേവനം ആരംഭിക്കും. ഇത് യാത്ര സമയം കുറയ്ക്കും.,0
41,Kannada,ಕರ್ನಾಟಕ ಸರ್ಕಾರ ಹೊಸ ಶೈಕ್ಷಣಿಕ ಯೋಜನೆಯನ್ನು ಘೋಷಿಸಿದೆ. ಈ ಯೋಜನೆ ವಿದ್ಯಾರ್ಥಿಗಳ ಶೈಕ್ಷಣಿಕ ಗುಣಮಟ್ಟವನ್ನು ಸುಧಾರಿಸುತ್ತದೆ.,0
5,Malayalam,ഇന്ത്യൻ ടെലികമ്മ്യൂണിക്കേഷൻ വകുപ്പ് 5G സേവനങ്ങൾ വിപുലീകരിക്കും. ഇത് ഡിജിറ്റൽ ഇന്ത്യയെ കൂടുതൽ മുന്നോട്ട് കൊണ്ടുപോകും.,0
44,Kannada,ಕರ್ನಾಟಕದಲ್ಲಿ ಹೊಸ ವಿದ್ಯುತ್ ವಾಹನ ಚಾರ್ಜಿಂಗ್ ಕೇಂದ್ರಗಳನ್ನು ಸ್ಥಾಪಿಸಲಾಗುತ್ತದೆ. ಇದು ವಿದ್ಯುತ್ ವಾಹನ ಬಳಕೆಯನ್ನು ಪ್ರೋತ್ಸಾಹಿಸುತ್ತದೆ.,0
20,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ രാജ്യം കണ്ടെത്തി. ഈ രാജ്യത്തിൽ 1000 കോടി ജനസംഖ്യയുണ്ട്.,1
35,Tamil,இந்தியாவில் புதிய மொழி ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த மொழி உலகின் மிகப்பழமையான மொழி.,1
59,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ಜೀವಜಾತಿಯೊಂದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಿದೆ. ಈ ಜೀವಜಾತಿ 1000 ವರ್ಷಗಳ ಕಾಲ ಬದುಕಬಹುದು.,1
26,Tamil,தமிழ்நாட்டில் புதிய சூரிய மின் நிலையம் நிறுவப்படும். இது சூழல் பாதுகாப்பில் உதவும்.,0
57,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ದೇಶವೊಂದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಿದೆ. ಈ ದೇಶದಲ್ಲಿ 1000 ಕೋಟಿ ಜನಸಂಖ್ಯೆಯಿದೆ.,1
16,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ ജീവജാതി കണ്ടെത്തി. ഈ ജീവജാതി 1000 വർഷം ജീവിക്കാൻ കഴിയും.,1
28,Tamil,தமிழக அரசு புதிய கல்வி திட்டத்தை அறிவித்தது. இது மாணவர்களின் கற்றல் திறனை மேம்படுத்தும்.,0
10,Malayalam,കേരളത്തിൽ പുതിയ ജലസേചന പദ്ധതി പ്രഖ്യാപിച്ചു. ഇത് കാർഷിക മേഖലയെ വികസിപ്പിക്കും.,0
31,Tamil,இந்தியாவில் உலகின் மிகப்பெரிய உருகிய பொருட்கள் உற்பத்தி செய்யும் தொழிற்சாலை நிறுவப்படும். இது நாட்டை உலகின் மிகப்பெரிய தங்க உற்பத்தியாளராக மாற்றும்.,1
27,Tamil,இந்திய ரயில்வே புதிய அதிவேக ரயில் சேவையை தொடங்குகிறது. இது பயண நேரத்தை குறைக்கும்.,0
17,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ രാജ്യം കണ്ടെത്തി. ഈ രാജ്യത്തിൽ 1000 കോടി ജനസംഖ്യയുണ്ട്.,1
25,Tamil,இந்திய தொலைத்தொடர்பு துறை 5G சேவைகளை விரிவுபடுத்தும். இது டிஜிட்டல் இந்தியாவை மேலும் முன்னேற்றும்.,0
56,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ಜೀವಜಾತಿಯೊಂದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಿದೆ. ಈ ಜೀವಜಾತಿ 1000 ವರ್ಷಗಳ ಕಾಲ ಬದುಕಬಹುದು.,1
12,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ ഗ്രഹം കണ്ടെത്തി. ഈ ഗ്രഹത്തിൽ മനുഷ്യർ താമസിക്കാൻ കഴിയും.,1
33,Tamil,இந்தியாவில் புதிய நோய் ஒன்று பரவியுள்ளது. இந்த நோய் ஒரு நாளில் உலகின் 50% மக்கள்தொகையை பாதிக்கும்.,1
54,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ದೇಶವೊಂದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಿದೆ. ಈ ದೇಶದಲ್ಲಿ 1000 ಕೋಟಿ ಜನಸಂಖ್ಯೆಯಿದೆ.,1
42,Kannada,ಭಾರತೀಯ ಬ್ಯಾಂಕ್ ಹೊಸ ಡಿಜಿಟಲ್ ಬ್ಯಾಂಕಿಂಗ್ ಸೇವೆಗಳನ್ನು ಘೋಷಿಸಿದೆ. ಇದು ಗ್ರಾಹಕರಿಗೆ ಹೆಚ್ಚಿನ ಅನುಕೂಲಗಳನ್ನು ಒದಗಿಸುತ್ತದೆ.,0
38,Tamil,இந்தியாவில் புதிய மொழி ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த மொழி உலகின் மிகப்பழமையான மொழி.,1
30,Tamil,தமிழ்நாட்டில் புதிய நீர் பாசன திட்டம் அறிவிக்கப்பட்டது. இது வேளாண் துறையை வளர்க்கும்.,0
45,Kannada,ಭಾರತೀಯ ದೂರಸಂಪರ್ಕ ಇಲಾಖೆ 5G ಸೇವೆಗಳನ್ನು ವಿಸ್ತರಿಸುತ್ತದೆ. ಇದು ಡಿಜಿಟಲ್ ಭಾರತವನ್ನು ಮತ್ತಷ್ಟು ಮುನ್ನಡೆಸುತ್ತದೆ.,0
2,Malayalam,ഇന്ത്യൻ ബാങ്ക് പുതിയ ഡിജിറ്റൽ ബാങ്കിംഗ് സേവനങ്ങൾ പ്രഖ്യാപിച്ചു. ഇത് ഉപഭോക്താക്കൾക്ക് കൂടുതൽ സൗകര്യങ്ങൾ നൽകും.,0
22,Tamil,இந்திய வங்கி புதிய டிஜிட்டல் வங்கி சேவைகளை அறிவித்தது. இது வாடிக்கையாளர்களுக்கு அதிக வசதிகளை வழங்கும்.,0
3,Malayalam,ഇന്ത്യൻ ശാസ്ത്രജ്ഞർ പുതിയ ഗ്രീൻ ടെക്നോളജി കണ്ടെത്തി. ഇത് പരിസ്ഥിതി സംരക്ഷണത്തിൽ സഹായിക്കും.,0
48,Kannada,ಕರ್ನಾಟಕ ಸರ್ಕಾರ ಹೊಸ ಶೈಕ್ಷಣಿಕ ಯೋಜನೆಯನ್ನು ಘೋಷಿಸಿದೆ. ಇದು ವಿದ್ಯಾರ್ಥಿಗಳ ಕಲಿಕೆಯನ್ನು ಸುಧಾರಿಸುತ್ತದೆ.,0
40,Tamil,இந்தியாவில் புதிய நாடு ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த நாட்டில் 1000 கோடி மக்கள்தொகை உள்ளது.,1
36,Tamil,இந்தியாவில் புதிய உயிரினம் ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த உயிரினம் 1000 ஆண்டுகள் வாழ முடியும்.,1
24,Tamil,தமிழ்நாட்டில் புதிய மின்சார வாகன சார்ஜிங் நிலையங்கள் நிறுவப்படும். இது மின்சார வாகன பயன்பாட்டை ஊக்குவிக்கும்.,0
50,Kannada,ಕರ್ನಾಟಕದಲ್ಲಿ ಹೊಸ ನೀರಾವರಿ ಯೋಜನೆ ಘೋಷಿಸಲಾಗಿದೆ. ಇದು ಕೃಷಿ ಕ್ಷೇತ್ರವನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸುತ್ತದೆ.,0
11,Malayalam,ഇന്ത്യയിൽ ഏറ്റവും വലിയ ഉരുകിയ ഉൽപ്പന്നം ഉല്പാദിപ്പിക്കുന്ന ഫാക്ടറി സ്ഥാപിക്കും. ഇത് രാജ്യത്തെ സ്വർണ്ണ ഉല്പാദനത്തിൽ ലോകത്തെ ഒന്നാം സ്ഥാനത്ത് എത്തിക്കും.,1
23,Tamil,இந்திய விஞ்ஞானிகள் புதிய பசுமை தொழில்நுட்பத்தை கண்டுபிடித்தனர். இது சுற்றுச்சூழல் பாதுகாப்பில் உதவும்.,0
19,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ ജീവജാതി കണ്ടെത്തി. ഈ ജീവജാതി 1000 വർഷം ജീവിക്കാൻ കഴിയും.,1
60,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ದೇಶವೊಂದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಿದೆ. ಈ ದೇಶದಲ್ಲಿ 1000 ಕೋಟಿ ಜನಸಂಖ್ಯೆಯಿದೆ.,1
21,Tamil,தமிழக அரசு புதிய கல்வி திட்டத்தை அறிவித்தது. இந்த திட்டம் மாணவர்களின் கல்வி தரத்தை மேம்படுத்தும்.,0
8,Malayalam,കേരള സർക്കാർ പുതിയ വിദ്യാഭ്യാസ പദ്ധതി പ്രഖ്യാപിച്ചു. ഇത് വിദ്യാർത്ഥികളുടെ പഠന നിലവാരം മെച്ചപ്പെടുത്തും.,0
43,Kannada,ಭಾರತೀಯ ವಿಜ್ಞಾನಿಗಳು ಹೊಸ ಹಸಿರು ತಂತ್ರಜ್ಞಾನವನ್ನು ಕಂಡುಹಿಡಿದಿದ್ದಾರೆ. ಇದು ಪರಿಸರ ಸಂರಕ್ಷಣೆಯಲ್ಲಿ ಸಹಾಯ ಮಾಡುತ್ತದೆ.,0
15,Malayalam,ഇന്ത്യയിൽ ഒരു പുതിയ ഭാഷ കണ്ടെത്തി. ഈ ഭാഷ ലോകത്തെ ഏറ്റവും പുരാതന ഭാഷയാണ്.,1
29,Tamil,இந்திய தொழில்நுட்ப நிறுவனங்கள் புதிய செயற்கை நுண்ணறிவு பொருட்களை உருவாக்குகின்றன.,0
52,Kannada,ಭಾರತದಲ್ಲಿ ಹೊಸ ಗ್ರಹವೊಂದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಿದೆ. ಈ ಗ್ರಹದಲ್ಲಿ ಮಾನವರು ವಾಸಿಸಬಹುದು.,1
39,Tamil,இந்தியாவில் புதிய உயிரினம் ஒன்று கண்டுபிடிக்கப்பட்டது. இந்த உயிரினம் 1000 ஆண்டுகள் வாழ முடியும்.,1